source,file,indicator_code,indicator_name,unit,data_format,notes
FAO,Value_of_Production_E_AreaCodes.csv,M49 Code,M49 Code,,wide,"Columns: Area Code, M49 Code, Area..."
FAO,Value_of_Production_E_Elements.csv,Gross Production Value (constant 2014-2016 thousand US$),Gross Production Value (constant 2014-2016 thousand US$),,long (Element per row),"File structure: Element Code, Element..."
FAO,Value_of_Production_E_Elements.csv,Gross Production Value (constant 2014-2016 thousand I$),Gross Production Value (constant 2014-2016 thousand I$),,long (Element per row),"File structure: Element Code, Element..."
FAO,Value_of_Production_E_Elements.csv,Gross Production Value (current thousand SLC),Gross Production Value (current thousand SLC),,long (Element per row),"File structure: Element Code, Element..."
FAO,Value_of_Production_E_Elements.csv,Gross Production Value (current thousand US$),Gross Production Value (current thousand US$),,long (Element per row),"File structure: Element Code, Element..."
FAO,Value_of_Production_E_Elements.csv,Gross Production Value (constant 2014-2016 thousand SLC),Gross Production Value (constant 2014-2016 thousand SLC),,long (Element per row),"File structure: Element Code, Element..."
FAO,Value_of_Production_E_Flags.csv, Description, Description,,wide,"Columns: Flag,  Description..."
FAO,Value_of_Production_E_ItemCodes.csv,Item Code,Item Code,,wide,"Columns: Item Code, CPC Code, Item..."
FAO,Value_of_Production_E_ItemCodes.csv,CPC Code,CPC Code,,wide,"Columns: Item Code, CPC Code, Item..."
FAO,Value_of_Production_E_ItemCodes.csv,Item,Item,,wide,"Columns: Item Code, CPC Code, Item..."
GMD,GMD.csv,nGDP,nGDP,,wide (column per indicator),
GMD,GMD.csv,nGDP_USD,nGDP_USD,,wide (column per indicator),
GMD,GMD.csv,rGDP,rGDP,,wide (column per indicator),
GMD,GMD.csv,rGDP_pc,rGDP_pc,,wide (column per indicator),
GMD,GMD.csv,rGDP_USD,rGDP_USD,,wide (column per indicator),
GMD,GMD.csv,deflator,deflator,,wide (column per indicator),
GMD,GMD.csv,cons,cons,,wide (column per indicator),
GMD,GMD.csv,cons_GDP,cons_GDP,,wide (column per indicator),
GMD,GMD.csv,cons_USD,cons_USD,,wide (column per indicator),
GMD,GMD.csv,hcons,hcons,,wide (column per indicator),
GMD,GMD.csv,hcons_GDP,hcons_GDP,,wide (column per indicator),
GMD,GMD.csv,hcons_USD,hcons_USD,,wide (column per indicator),
GMD,GMD.csv,gcons,gcons,,wide (column per indicator),
GMD,GMD.csv,gcons_GDP,gcons_GDP,,wide (column per indicator),
GMD,GMD.csv,gcons_USD,gcons_USD,,wide (column per indicator),
GMD,GMD.csv,inv,inv,,wide (column per indicator),
GMD,GMD.csv,inv_GDP,inv_GDP,,wide (column per indicator),
GMD,GMD.csv,inv_USD,inv_USD,,wide (column per indicator),
GMD,GMD.csv,finv,finv,,wide (column per indicator),
GMD,GMD.csv,finv_GDP,finv_GDP,,wide (column per indicator),
GMD,GMD.csv,finv_USD,finv_USD,,wide (column per indicator),
GMD,GMD.csv,exports,exports,,wide (column per indicator),
GMD,GMD.csv,exports_GDP,exports_GDP,,wide (column per indicator),
GMD,GMD.csv,exports_USD,exports_USD,,wide (column per indicator),
GMD,GMD.csv,imports,imports,,wide (column per indicator),
GMD,GMD.csv,imports_GDP,imports_GDP,,wide (column per indicator),
GMD,GMD.csv,imports_USD,imports_USD,,wide (column per indicator),
GMD,GMD.csv,CA,CA,,wide (column per indicator),
GMD,GMD.csv,CA_GDP,CA_GDP,,wide (column per indicator),
GMD,GMD.csv,USDfx,USDfx,,wide (column per indicator),
GMD,GMD.csv,REER,REER,,wide (column per indicator),
GMD,GMD.csv,govexp,govexp,,wide (column per indicator),
GMD,GMD.csv,gen_govexp,gen_govexp,,wide (column per indicator),
GMD,GMD.csv,gen_govexp_GDP,gen_govexp_GDP,,wide (column per indicator),
GMD,GMD.csv,cgovexp,cgovexp,,wide (column per indicator),
GMD,GMD.csv,cgovexp_GDP,cgovexp_GDP,,wide (column per indicator),
GMD,GMD.csv,govrev,govrev,,wide (column per indicator),
GMD,GMD.csv,gen_govrev,gen_govrev,,wide (column per indicator),
GMD,GMD.csv,cgovrev,cgovrev,,wide (column per indicator),
GMD,GMD.csv,gen_govrev_GDP,gen_govrev_GDP,,wide (column per indicator),
GMD,GMD.csv,cgovrev_GDP,cgovrev_GDP,,wide (column per indicator),
GMD,GMD.csv,govtax,govtax,,wide (column per indicator),
GMD,GMD.csv,gen_govtax,gen_govtax,,wide (column per indicator),
GMD,GMD.csv,cgovtax,cgovtax,,wide (column per indicator),
GMD,GMD.csv,gen_govtax_GDP,gen_govtax_GDP,,wide (column per indicator),
GMD,GMD.csv,cgovtax_GDP,cgovtax_GDP,,wide (column per indicator),
GMD,GMD.csv,govdef_GDP,govdef_GDP,,wide (column per indicator),
